"Mid","Aid"
"4339","93277"
"5108","93277"
"5070","93277"
"8231","93277"
"4085","93277"
"2410","93277"
"7311","93277"
"4589","93277"
"9826","69848"
"9826","81213"
"7311","81213"
"9826","85469"
"5097","85469"
"7311","85469"
"9826","80438"
"9826","94558"
"2681","94558"
"9826","70981"
"9826","64687"
"2031","52653"
"1782","52653"
"2031","58157"
"4223","58157"
"3481","58157"
"1832","58157"
"1825","58157"
"2969","58157"
"2031","75782"
"6057","75782"
"1874","75782"
"5598","75782"
"9721","75782"
"3232","75782"
"2031","84554"
"3970","84554"
"4708","84554"
"2031","66094"
"3360","66094"
"9235","66094"
"1562","66094"
"3223","66094"
"4810","66094"
"2031","97221"
"6168","97221"
"6608","97221"
"2031","95334"
"4012","95334"
"2031","28831"
"4622","76587"
"5985","76587"
"5842","76587"
"9652","76587"
"8324","76587"
"3317","76587"
"2203","76587"
"4649","76587"
"1966","76587"
"6978","76587"
"5308","76587"
"7922","76587"
"6776","76587"
"9787","76587"
"4911","76587"
"7311","76587"
"9610","76587"
"4622","16996"
"4935","16996"
"9018","16996"
"4622","82236"
"6934","82236"
"8799","82236"
"6168","82236"
"4622","22531"
"2285","22531"
"7348","22531"
"4622","66867"
"4107","66867"
"4029","66867"
"4622","34046"
"2272","34046"
"5308","34046"
"4622","17449"
"7535","17449"
"8110","83512"
"8946","83512"
"8562","83512"
"8110","29154"
"9323","29154"
"6771","29154"
"3149","29154"
"8110","72074"
"3819","72074"
"6529","72074"
"8110","22553"
"8110","55691"
"5525","55691"
"8110","44030"
"8110","27068"
"1975","27068"
"8110","77677"
"3677","29194"
"3677","86224"
"3677","73935"
"3677","64763"
"3677","31584"
"9434","31584"
"3677","42085"
"3925","42085"
"9465","42085"
"6131","42085"
"5070","42085"
"7435","20495"
"6635","20495"
"5306","20495"
"7435","51358"
"9285","51358"
"7435","57084"
"2988","57084"
"9809","57084"
"2973","57084"
"4723","57084"
"7435","31889"
"7486","31889"
"9636","31889"
"5622","31889"
"9959","31889"
"9652","31889"
"7462","31889"
"8602","31889"
"8874","31889"
"7435","47768"
"3519","47768"
"3453","47768"
"3231","47768"
"7720","47768"
"7497","47768"
"3624","47768"
"7435","88203"
"4079","88203"
"8732","14167"
"8732","20059"
"4967","20059"
"8732","88864"
"8732","96344"
"6105","96344"
"8352","96344"
"6471","96344"
"3770","96344"
"8732","15862"
"9859","15862"
"9352","15862"
"8551","15862"
"8804","15862"
"8732","36701"
"4738","36701"
"8732","57290"
"8732","53104"
"4267","53104"
"6776","53104"
"8732","42287"
"7062","42287"
"8732","13608"
"8609","13608"
"8732","12908"
"7431","76426"
"7431","16208"
"7431","62665"
"7431","17767"
"7431","96503"
"7431","27358"
"7431","19231"
"7431","35567"
"9247","35567"
"8771","35567"
"7431","52611"
"7431","88916"
"5954","45490"
"9855","45490"
"9039","45490"
"5850","45490"
"5954","60171"
"5954","48974"
"9766","48974"
"5954","88430"
"5954","88468"
